title,fullsize,thumb
Hunter Slimline 8kw double door,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/1.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/1_small_150x108.jpg
Morso Squirrel 5kw- ribbed sides,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/2.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/2_small_150x111.jpg
Valor Willow 4.5kw multi fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/3.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/3_small_150x107.jpg
Stovax Brunel 1A 4kw multi fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/5.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/5_small_150x104.jpg
Morso 04 5kw Defra approved,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010670_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010670_1200_small_150x112.JPG
Cleanburn Lovenholme 5kw Defra approved,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010373.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010373_small_150x112.JPG
P1020175,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020175.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020175_small_150x112.JPG
Stovax Stockton 4 with smoke kit,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010688.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010688_small_150x200.JPG
Stovax View  5kw defra stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010709.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010709_small_150x112.JPG
DSC02175,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/DSC02175.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/DSC02175_small_150x199.jpg
Stovax Stockton 7kw woodburner,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010631_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010631_1200_small_150x112.JPG
P1010664_1200,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010664_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010664_1200_small_150x112.JPG
P1010651_1200,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010651_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010651_1200_small_150x200.JPG
Stovax Stockton 4kw defra approved multi fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020119.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020119_small_150x112.JPG
Morso Squirrel 5kw defra approved muti fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010654_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010654_1200_small_150x112.JPG
Classic 5kw Villaer,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010793.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010793_small_150x112.JPG
Brosely Serrano 5k defra exempt,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010780.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010780_small_150x112.JPG
P1010428,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010428.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010428_small_150x199.JPG
P1010531,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010531.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010531_small_150x112.JPG
P1010552,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010552.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010552_small_150x112.JPG
Morso Squirrel 5kw defra approved multi fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010672_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010672_1200_small_150x112.JPG
Morso Squirrel 5kw Defra Approved,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010732.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010732_small_150x200.JPG
Stovax Stockton 5kw,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010875.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010875_small_150x112.jpg
Esse 100 SE defra approved,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010841.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010841_small_150x200.JPG
Morso Squirrel 5kw multi fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010781.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010781_small_150x112.JPG
Morso Badger 5kw defra approved stove with wood store,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010854.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010854_small_150x112.JPG
Morso 1448 4kw defra approved stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020124.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020124_small_150x112.JPG
Stovax Stockton 5kw woodburner only,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010772.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010772_small_150x112.JPG
Aarow Ecoburn 5kw,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010779.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010779_small_150x112.JPG
Harmony 13 5kw multi fuel defra approved stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010771.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010771_small_150x112.JPG
Morso O4 defra approved,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010090.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010090_small_150x130.JPG
P1010711,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010711.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010711_small_150x112.JPG
Stovax Stockton 5kw with smoke kit,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010714.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010714_small_150x200.JPG
Sirius 405 CB 5kw defra approved,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020131.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020131_small_150x112.JPG
Stovax Stockton 5kw with hood,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010678_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010678_1200_small_150x112.JPG
Stovax Riva 40 5kw defra approved cassette stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010113.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010113_small_150x179.JPG
Stovax Riva cassette stove 4.9kw,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/7.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/7_small_150x250.jpg
Saey Fenix Vitro 90 Flatline 12kw cassette stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/12w_Designer_Cassette_Stove.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/12w_Designer_Cassette_Stove_small_150x112.JPG
Stovax Riva cassette stove 4.9kw,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010663_1200.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010663_1200_small_150x112.JPG
Stovax Riva Studio One,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010867.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010867_small_150x112.jpg
Esse 301 5kw defra approved inset stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020123.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1020123_small_150x112.JPG
Esse 301 5kw multi fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010851.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010851_small_150x112.JPG
Stovax Milner Inset 5kw multi fuel stove,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010864.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010864_small_150x112.JPG
Stovax Milner 5kw woodburning only,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010874.jpg,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010874_small_150x112.jpg
Stove fitted to conservatory fireplace,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010419.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010419_small_150x112.JPG
Nova twin wall 135 t with soot trap, boxed in fireproof plasterboard,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010418_small_150x199.JPG
Nova Twinwall through conservatory wall up through house and exiting on main roof,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010420.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010420_small_150x112.JPG
Firefox Five 5kw Defra exempt with Nova twin wall solid flu in artists studio,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010556.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010556_small_150x200.JPG
Firefox 5kw wit wood store,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010557.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010557_small_150x200.JPG
Aesthetically pleasing installation,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010558.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010558_small_150x112.JPG
Warmth while you work,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010559.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010559_small_150x112.JPG
Studio stove in situ,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010560.JPG,http://s3.amazonaws.com/independent-stove-installations-uk/galleries/9/P1010560_small_150x112.JPG
